order_id,order_date,customer_id,customer_name,product_id,product_name,category,quantity,price,city,payment_type
ORD000128577,2026-01-23,CUST107067,Saanvi Handa,PROD100187,Skirt Variant 3,Clothing,2,55837.97,Chinsurah,Credit Card
ORD000128578,2026-01-23,CUST137769,Daniel Shanker,PROD100411,Children Book Variant 2,Books,5,47868.74,Kharagpur,Debit Card
ORD000128579,2026-01-23,CUST144601,Tristan Kurian,PROD100492,Compact Powder Variant 3,Beauty,1,34677.24,Mirzapur,Net Banking
ORD000128580,2026-01-23,CUST114153,Dayita Ranganathan,PROD100366,Biography Variant 2,Books,1,24474.35,Gwalior,Credit Card
ORD000128581,2026-01-23,CUST128511,Xalak Deshpande,PROD100069,External Hard Drive Variant 5,Electronics,3,7575.88,Ghaziabad,Cash on Delivery
ORD000128582,2026-01-23,CUST148890,Advika Kari,PROD100125,T-Shirt Variant 1,Clothing,2,41711.24,Srinagar,UPI
ORD000128583,2026-01-23,CUST123373,Chaaya Balakrishnan,PROD100535,Straightener Variant 1,Beauty,3,33974.16,Ghaziabad,Net Banking
ORD000128584,2026-01-23,CUST117845,Simon Raja,PROD100050,Printer Variant 1,Electronics,2,24052.69,Pondicherry,Net Banking
ORD000128585,2026-01-23,CUST123295,Ekiya Deol,PROD100268,Iron Variant 4,Home,3,77406.91,Sirsa,Cash on Delivery
ORD000128586,2026-01-23,CUST139662,Wakeeta Naik,PROD100097,SSD Variant 3,Electronics,3,51088.12,Surat,Cash on Delivery
ORD000128587,2026-01-23,CUST148447,Ishwar Devan,PROD100543,Body Lotion Variant 4,Beauty,3,13058.77,Kulti,Credit Card
ORD000128588,2026-01-23,CUST123053,Chatura Rajagopal,PROD100612,Gym Gloves Variant 3,Sports,1,7500.81,Raebareli,Net Banking
ORD000128589,2026-01-23,CUST120677,Fitan Raja,PROD100332,Sofa Variant 3,Home,2,45384.44,Sri Ganganagar,Net Banking
ORD000128590,2026-01-23,CUST118096,Tamanna Rai,PROD100190,Top Variant 1,Clothing,3,45951.44,Buxar,UPI
ORD000128591,2026-01-23,CUST140219,Zaid Basu,PROD100617,Sports Shoes Variant 3,Sports,4,47053.67,Bally,Credit Card
ORD000128592,2026-01-23,CUST127367,Kai Chahal,PROD100269,Iron Variant 5,Home,5,34499.47,Raebareli,Cash on Delivery
ORD000128593,2026-01-23,CUST102407,Frado Sarraf,PROD100307,Bedsheet Variant 3,Home,3,12056.93,Bhatpara,Net Banking
ORD000128594,2026-01-23,CUST101911,Dhriti Balakrishnan,PROD100072,USB Flash Drive Variant 3,Electronics,5,59525.22,Morbi,Debit Card
ORD000128595,2026-01-23,CUST112932,Yachana Khanna,PROD100181,Shorts Variant 2,Clothing,3,47121.03,Tirupati,Net Banking
ORD000128596,2026-01-23,CUST103029,Maanav Seth,PROD100506,Conditioner Variant 2,Beauty,1,47003.87,Purnia,Credit Card
ORD000128597,2026-01-23,CUST119949,Triya Patel,PROD100485,Foundation Variant 1,Beauty,2,7242.42,Ghaziabad,UPI
ORD000128598,2026-01-23,CUST146321,Chaitaly Wable,PROD100523,Trimmer Variant 4,Beauty,5,26416.49,Gopalpur,Net Banking
ORD000128599,2026-01-23,CUST126262,Aashi Gara,PROD100611,Gym Gloves Variant 2,Sports,3,69030.06,Navi Mumbai,Debit Card
ORD000128600,2026-01-23,CUST138530,Ikbal Lad,PROD100488,Foundation Variant 4,Beauty,1,19599.16,Bhiwandi,UPI
ORD000128601,2026-01-23,CUST126263,Ekavir Jaggi,PROD100372,Comics Variant 3,Books,4,36783.99,Cuttack,UPI
ORD000128602,2026-01-23,CUST114020,Sara Mahal,PROD100346,Wall Clock Variant 2,Home,1,50525.37,Jamshedpur,Debit Card
ORD000128603,2026-01-23,CUST110041,Unnati Buch,PROD100503,Shampoo Variant 4,Beauty,5,53783.41,Tezpur,Credit Card
ORD000128604,2026-01-23,CUST122722,Arin Mandal,PROD100140,Trousers Variant 1,Clothing,1,35783.89,Tinsukia,UPI
ORD000128605,2026-01-23,CUST117360,Kalpit Gade,PROD100576,Tennis Racket Variant 2,Sports,1,11775.59,Giridih,Debit Card
ORD000128606,2026-01-23,CUST122748,Urvi Johal,PROD100041,Mouse Variant 2,Electronics,4,10555.52,Kolhapur,UPI
ORD000128607,2026-01-23,CUST138599,Ojas Varty,PROD100372,Comics Variant 3,Books,1,68113.1,Mau,Net Banking
ORD000128608,2026-01-23,CUST100254,Fitan Zachariah,PROD100007,Laptop Variant 3,Electronics,1,48272.52,Tinsukia,UPI
ORD000128609,2026-01-23,CUST117179,Karan Kar,PROD100564,Volleyball Variant 5,Sports,2,12502.86,Berhampore,Net Banking
ORD000128610,2026-01-23,CUST132752,Ishita Kothari,PROD100459,Moisturizer Variant 5,Beauty,4,69974.37,Sasaram,Credit Card
ORD000128611,2026-01-23,CUST107701,Wishi Deshpande,PROD100028,Bluetooth Speaker Variant 4,Electronics,1,39119.45,Khammam,Credit Card
ORD000128612,2026-01-23,CUST125834,Anamika Chand,PROD100539,Straightener Variant 5,Beauty,2,49503.55,Dhanbad,Debit Card
ORD000128613,2026-01-23,CUST144378,Leena Vasa,PROD100209,Cap Variant 5,Clothing,5,38383.96,Amravati,Cash on Delivery
ORD000128614,2026-01-23,CUST137006,Janaki Shankar,PROD100465,Serum Variant 1,Beauty,4,72008.83,Surendranagar Dudhrej,Debit Card
ORD000128615,2026-01-23,CUST110635,Janaki Das,PROD100509,Conditioner Variant 5,Beauty,3,16640.25,Jorhat,Credit Card
ORD000128616,2026-01-23,CUST144939,Dayita Dass,PROD100042,Mouse Variant 3,Electronics,4,4443.25,Hapur,Debit Card
ORD000128617,2026-01-23,CUST124433,Qabil Kohli,PROD100589,Yoga Mat Variant 5,Sports,2,77214.96,Amaravati,Debit Card
ORD000128618,2026-01-23,CUST104806,Gayathri Lanka,PROD100485,Foundation Variant 1,Beauty,4,17171.49,Kamarhati,Debit Card
ORD000128619,2026-01-23,CUST126270,Agastya Bhat,PROD100109,Projector Variant 5,Electronics,2,76852.03,Pondicherry,UPI
ORD000128620,2026-01-23,CUST136552,Anusha Chahal,PROD100211,Socks Variant 2,Clothing,2,38644.32,Hosur,Cash on Delivery
