order_id,order_date,customer_id,customer_name,product_id,product_name,category,quantity,price,city,payment_type
ORD000016201,2026-01-04,CUST119525,Janaki Rege,PROD100355,Novel Variant 1,Books,3,46001.03,Gulbarga,Debit Card
ORD000016202,2026-01-04,CUST145205,Upkaar Andra,PROD100440,History Book Variant 1,Books,5,49072.13,Rajkot,Credit Card
ORD000016203,2026-01-04,CUST113184,Tanvi Basak,PROD100474,Perfume Variant 5,Beauty,3,454.94,Secunderabad,Debit Card
ORD000016204,2026-01-04,CUST122109,Eshana Oza,PROD100601,Resistance Band Variant 2,Sports,1,43559.73,Khammam,Credit Card
ORD000016205,2026-01-04,CUST135864,Vamakshi Doctor,PROD100459,Moisturizer Variant 5,Beauty,4,10185.33,Gurgaon,Cash on Delivery
ORD000016206,2026-01-04,CUST103777,Harini Sandhu,PROD100509,Conditioner Variant 5,Beauty,5,13704.69,Guntakal,Debit Card
ORD000016207,2026-01-04,CUST101243,Sudiksha Luthra,PROD100257,Induction Cooktop Variant 3,Home,5,41291.89,Dehri,Net Banking
ORD000016208,2026-01-04,CUST107070,Vasana Dara,PROD100130,Shirt Variant 1,Clothing,2,10560.1,Kakinada,Credit Card
ORD000016209,2026-01-04,CUST132391,Eshana Bail,PROD100061,Webcam Variant 2,Electronics,3,76540.02,Narasaraopet,Credit Card
ORD000016210,2026-01-04,CUST103291,Pavani Sachdev,PROD100510,Hair Mask Variant 1,Beauty,1,79680.08,Eluru,Credit Card
ORD000016211,2026-01-04,CUST135061,Jagat Kala,PROD100214,Socks Variant 5,Clothing,5,45948.38,Morena,Cash on Delivery
ORD000016212,2026-01-04,CUST104769,Udarsh Buch,PROD100374,Comics Variant 5,Books,3,15077.52,Mirzapur,Credit Card
ORD000016213,2026-01-04,CUST106699,Lekha Sheth,PROD100102,Soundbar Variant 3,Electronics,4,18345.54,Akola,Credit Card
ORD000016214,2026-01-04,CUST142752,Mekhala Kalla,PROD100236,Mixer Grinder Variant 2,Home,4,17000.25,Ramgarh,Cash on Delivery
ORD000016215,2026-01-04,CUST107280,Yashawini Radhakrishnan,PROD100417,Engineering Book Variant 3,Books,1,66925.08,Agartala,Credit Card
ORD000016216,2026-01-04,CUST130611,Ijaya Reddy,PROD100560,Volleyball Variant 1,Sports,3,53403.75,Thrissur,Net Banking
ORD000016217,2026-01-04,CUST106790,Ira Badal,PROD100378,Magazine Variant 4,Books,5,59413.15,Cuttack,Credit Card
ORD000016218,2026-01-04,CUST126396,Shivani Agate,PROD100283,Air Cooler Variant 4,Home,2,25300.53,Karnal,Cash on Delivery
ORD000016219,2026-01-04,CUST140879,Isaiah Rana,PROD100464,Sunscreen Variant 5,Beauty,5,3985.43,New Delhi,Net Banking
ORD000016220,2026-01-04,CUST140760,Falguni Dani,PROD100211,Socks Variant 2,Clothing,2,33770.07,Karaikudi,Net Banking
ORD000016221,2026-01-04,CUST101874,Luke Borra,PROD100141,Trousers Variant 2,Clothing,5,46873.51,Baranagar,Credit Card
ORD000016222,2026-01-04,CUST104299,Wakeeta Chakraborty,PROD100556,Football Variant 2,Sports,4,24428.15,Tirupati,UPI
ORD000016223,2026-01-04,CUST119085,Caleb Mishra,PROD100502,Shampoo Variant 3,Beauty,2,4783.25,Durg,UPI
ORD000016224,2026-01-04,CUST108394,Bachittar Rajan,PROD100373,Comics Variant 4,Books,1,11184.31,Patna,UPI
ORD000016225,2026-01-04,CUST109820,Vritti Chad,PROD100070,USB Flash Drive Variant 1,Electronics,2,30059.9,Karawal Nagar,Cash on Delivery
ORD000016226,2026-01-04,CUST138944,Timothy Bhatti,PROD100556,Football Variant 2,Sports,2,13308.44,Ghaziabad,Net Banking
ORD000016227,2026-01-04,CUST104426,Bhanumati Modi,PROD100225,Innerwear Variant 1,Clothing,3,32900.69,Chandrapur,UPI
